GEOID,EvicTotal,HH_Median,Population,Male,Female,Median_age,White,Black,Asian,Hispanic,Households,Family_HH,Employed,Per_capita,Health_Ins,NoHealth_Ins,Pct_in_pov,Travel_time,HU_Occupied,HU_Vacant,Homeowner,Rental_vacancy,No_telepho,higherEduc,Urban_Rura
47157005700,38,33111,2584,1228,1356,32.5,62,2506,6,6,804,449,838,12938,1773,811,20.7127,47,804,349,0,7.798,60,516,Urban
47157020300,48,46364,5355,2617,2738,48.6,3629,1146,360,226,2394,1379,2218,24783,4284,968,22.1175,12,2394,433,0,17.418,75,2211,Mixed
47157020820,12,113814,8429,4342,4087,38,6649,1191,365,430,2769,2206,4317,44491,7702,683,2.94651,30,2769,94,1.876,0,31,4205,Mixed
47157021135,93,52940,7321,2783,4538,30.8,2535,4359,209,21,2837,1802,3384,23435,6930,375,8.26859,15,2837,195,4.575,5.263,38,3324,Urban
47157009200,18,81458,7652,3733,3919,36.8,6369,484,540,80,3130,2180,4032,43687,7192,445,9.22018,2,3130,194,0.601,11.14,29,4627,Urban
47157021138,62,88452,3882,1825,2057,38.8,1633,1920,207,132,1442,1109,2066,40615,3685,197,7.12353,0,1442,81,0,4.583,22,2240,Urban
47157003300,1,70823,2376,960,1416,36.1,2247,24,7,122,1137,610,1446,52369,2252,124,0,35,1137,80,3.314,6.706,0,1821,Urban
47157000600,24,16379,1969,1047,922,45.1,0,1937,0,0,789,397,511,13508,1679,290,33.7531,12,789,390,3.448,22.316,26,409,Urban
47157021331,19,76715,3030,1325,1705,47.9,2004,901,40,171,1329,803,1621,35726,2874,156,8.96638,8,1329,96,3.002,0,0,1806,Urban
47157021352,2,114875,6081,3165,2916,46.4,5707,52,183,0,2367,1880,3166,61606,6049,32,0,49,2367,112,0,0,0,3963,Urban
47157021410,1,102734,2761,1308,1453,50.7,2597,81,62,22,1124,809,1386,56282,2690,71,1.73053,36,1124,95,3.638,8.425,42,1736,Urban
47157022130,52,46544,5377,2586,2791,33.5,71,5271,35,0,1980,1176,2270,26661,4839,538,21.5986,50,1980,413,0,3.873,32,2033,Urban
47157020210,34,58482,5725,2684,3041,38.9,4101,1451,74,319,2091,1360,2597,25978,5183,514,7.86765,0,2091,254,0,0,43,2227,Mixed
47157010120,121,25101,5734,2496,3238,24.4,419,5190,0,113,1844,1340,1898,10778,5001,733,51.4925,11,1844,618,0,12.463,9,1061,Urban
47157020610,97,35661,4041,1915,2126,31.2,1118,2738,91,171,1744,950,2130,22966,3383,639,22.9474,0,1744,227,0,4.381,17,1382,Urban
47157001600,1,71974,3234,1542,1692,22.2,2334,551,276,109,956,462,1491,34826,3064,170,0,10,956,158,5.692,16.545,11,2501,Urban
47157007810,147,20604,2387,1161,1226,35.6,15,2365,2,0,935,555,558,11348,1942,445,52.6126,0,935,585,0,12.993,16,648,Urban
47157003100,16,56023,3497,1526,1971,36.1,2430,775,28,173,1654,506,2242,41725,3078,413,1.97628,5,1654,221,3.854,4.774,18,2571,Urban
47157003200,69,39094,3860,1943,1917,38,2633,854,142,217,2045,448,2083,30994,3360,163,2.23214,0,2045,355,0,11.658,58,2565,Urban
47157003500,42,56111,3138,1621,1517,41.7,2417,595,80,156,1500,759,1880,45575,2907,231,9.74967,4,1500,258,5.721,9.14,7,1981,Urban
47157003600,43,31019,1744,1013,731,38.6,1126,543,24,247,920,191,1051,30844,1145,599,24.6073,9,920,370,0,21.358,38,849,Urban
47157003700,38,15278,1175,527,648,39.8,320,758,60,25,818,148,425,18683,1004,132,29.0541,20,818,159,0,6.857,13,551,Urban
47157021141,100,70463,7252,3256,3996,38.8,3221,3449,184,411,2740,1999,4014,33678,6535,705,2.75138,46,2740,265,1.626,13.411,12,3761,Urban
47157000200,24,14345,790,335,455,35.7,0,762,0,10,389,160,263,12545,665,125,42.5,0,389,109,0,16.095,8,234,Urban
47157980400,3,0,724,556,168,29.5,109,600,0,33,0,0,0,5110,0,0,0,0,0,0,0,0,0,141,Mixed
47157021140,123,65382,5225,2486,2739,37.4,3315,1435,247,294,2124,1398,2915,31020,4561,645,1.71674,39,2124,57,1.784,0,17,2816,Urban
47157020831,21,75343,3687,1707,1980,38.1,2716,730,129,188,1472,1039,1926,31037,3659,28,3.65736,7,1472,47,0,8.545,0,1971,Urban
47157011100,18,17113,1643,826,817,38,33,1610,0,103,640,349,443,16639,1276,359,47.2779,8,640,253,8.228,8.377,0,368,Urban
47157003800,40,11269,822,528,294,50.2,208,559,44,11,635,33,337,14127,752,70,0,0,635,63,0,5.926,22,368,Urban
47157003900,78,15399,1551,870,681,44.3,247,1140,140,54,1011,219,671,22116,1212,339,17.8082,0,1011,119,0,6.557,70,667,Urban
47157021311,30,142569,4659,2164,2495,57.5,4030,283,244,61,2115,1396,2118,101242,4536,123,1.00287,29,2115,152,0,7.778,125,3351,Mixed
47157022122,116,45810,4270,2278,1992,33.2,122,3985,0,13,1533,990,1848,19143,3754,516,21.5152,0,1533,421,5.308,16.413,11,1640,Urban
47157022600,174,36868,4039,1865,2174,29,465,3120,180,498,1331,828,1979,19347,3314,725,19.8068,0,1331,464,0,14.724,22,1352,Mixed
47157020101,77,32093,4090,1856,2234,32.4,1268,2627,0,221,1320,949,1198,17644,3469,614,35.1949,0,1320,264,2.89,0,29,1195,Mixed
47157020102,3,70291,2861,1398,1463,50.7,2482,361,0,68,1112,902,1428,34443,2636,209,2.88248,19,1112,23,0,0,0,1366,Rural
47157009902,143,23969,2184,1009,1175,30,331,1761,0,147,805,426,895,17000,1760,424,40.3756,20,805,496,0,24.355,17,624,Urban
47157020633,1,72629,2955,1519,1436,48.4,2719,158,19,14,1137,805,1442,33439,2798,105,0,22,1137,77,2.153,0,29,1599,Urban
47157020634,2,66143,3090,1473,1617,50.1,2732,226,84,27,1128,848,1571,28221,2869,213,5.18868,0,1128,0,0,0,64,1463,Urban
47157021125,25,68109,4543,1916,2627,38.6,2586,1524,257,162,1891,1022,2405,32787,4164,154,13.5029,10,1891,88,0,3.634,80,2434,Urban
47157021124,125,59034,7776,3128,4648,32.3,3615,3118,134,1253,2581,1775,4079,23254,6452,1199,6.87324,0,2581,321,4.319,10.588,0,2863,Urban
47157021726,271,26731,3486,1291,2195,40.4,1012,2423,0,224,2116,649,1520,21142,3070,416,23.2666,0,2116,633,9.524,16.962,48,1806,Urban
47157021725,516,31617,4687,1981,2706,28,348,3941,18,453,2282,857,2954,20819,3621,1057,15.5193,0,2282,413,0,12.596,48,2041,Urban
47157021746,71,45729,4791,2299,2492,31.4,422,4165,0,296,1931,1236,2731,25722,4354,437,10.1133,22,1931,125,0,9.713,44,2003,Urban
47157021747,40,48393,3909,1887,2022,30.9,210,3152,17,459,1261,880,1852,20372,3442,461,16.25,0,1261,163,0,10.976,0,1089,Urban
47157022220,40,24145,3468,1526,1942,43.8,192,3258,0,142,1346,643,1214,14925,2770,656,24.7278,18,1346,484,0,10.867,46,1322,Urban
47157022023,31,42723,1677,820,857,36.8,57,1602,0,0,635,365,656,27073,1356,321,21.0959,0,635,1066,0,17.327,7,753,Urban
47157022024,39,49667,3429,1548,1881,43.1,167,3250,0,28,1256,822,1570,24940,2951,478,17.1533,24,1256,34,0,0,0,1434,Urban
47157020524,57,35750,4633,2021,2612,31,494,4023,0,67,1603,1116,2174,19408,3886,747,23.3871,47,1603,229,3.202,7.478,26,1346,Urban
47157020523,107,29795,2911,1447,1464,25.5,299,2559,0,13,957,752,1213,12565,2420,491,29.5213,15,957,508,0,26.316,22,688,Urban
47157021126,65,62413,5032,2481,2551,31.3,2374,2089,369,388,2019,1234,2759,30935,4469,563,6.15883,19,2019,89,4.48,0,46,2472,Urban
47157022121,50,64521,4572,2186,2386,42.1,236,4207,12,32,1621,1093,1868,26068,4233,339,11.1619,0,1621,141,0,12.985,8,2126,Urban
47157021312,10,54769,2108,1111,997,43.1,1902,99,97,67,1148,556,1341,44586,1961,147,1.25899,15,1148,148,4.2,4.017,49,1356,Urban
47157005600,119,23704,3771,1772,1999,46.2,9,3762,0,0,1564,802,1382,15738,2941,830,31.4214,20,1564,304,0,12.422,41,1110,Urban
47157005800,25,18969,873,365,508,43.4,21,841,0,0,333,207,269,14621,736,137,48.3092,8,333,199,13.402,9.455,24,252,Urban
47157005900,55,20724,2253,1213,1040,38.1,18,2229,0,18,855,410,732,9869,1642,592,44.878,52,855,337,0,3.311,15,455,Urban
47157006000,33,26725,2004,904,1100,37.3,85,1898,0,38,772,382,593,15839,1693,311,25.9162,16,772,210,0,3.65,7,640,Urban
47157006200,24,27604,1486,630,856,48.5,94,1380,0,0,660,286,470,21860,1089,397,24.4755,19,660,319,2.25,12.034,14,444,Urban
47157022111,188,33344,4917,2266,2651,44.2,132,4707,0,27,2148,1141,1838,18924,4284,386,19.9825,0,2148,337,0,1.384,30,1947,Urban
47157022022,694,24247,3928,1781,2147,27.6,56,3795,0,28,1300,818,1507,13386,3044,884,40.9535,0,1300,1390,0,22.931,22,1156,Urban
47157006400,27,38882,1776,803,973,45.3,92,1608,14,18,726,416,906,24455,1579,197,19.4712,5,726,95,0,16.201,0,800,Urban
47157007400,88,38125,3141,1698,1443,24.1,2408,530,122,65,1275,448,1822,23175,2812,329,11.6071,5,1275,332,4.328,8.863,54,2302,Urban
